x,y
-3300764.537563266,248127.79744531258
-3301213.8447821504,248182.60065045365
-3301660.362975675,248243.43663687087
-3302099.9024688546,248303.85976254224
-3302530.0206728373,248358.8612237378
-3302954.648731736,248412.76629194268
-3303378.51043357,248469.04889019235
-3303801.785228139,248531.69863218677
-3304236.0227163783,248610.09309365437
-3304693.8742998294,248713.19422184152
-3305157.7422661325,248833.5838760749
-3305610.475573138,249002.1581845639
-3306051.490274047,249254.6104021958
-3306505.8186400468,249614.51791351568
-3306986.507265776,250030.09285655993
-3307414.301767049,250487.81004436428
-3307740.169585253,251011.62220306776
-3308002.9611612246,251532.1120135038
-3308193.1439389363,251947.18715209552
-3308330.085025272,252266.1577293858
-3308448.3970024674,252557.11347339416
-3308560.0295260223,252841.95027017058
-3308665.9082049397,253123.8287195577
-3308765.6653317935,253401.8625499005
-3308858.013302474,253678.5337441076
-3308951.141570579,253960.2049664071
-3309048.219208534,254246.99483306258
-3309146.1178280218,254537.78482473214
-3309244.8267389014,254834.33806071887
-3309339.8106341297,255133.62771438961
-3309432.5483458075,255432.54813147793
-3309529.5736914286,255730.6388024709
-3309633.567682356,256025.95963720942
-3309744.277798957,256320.11634617465
-3309861.22867106,256611.97275720778
-3309985.9723877623,256905.9921050019
-3310119.873991984,257197.86842828404
-3310263.7653376427,257485.33921217037
-3310418.688438074,257765.50036096337
-3310593.464670901,258039.07834039885
-3310793.0695249457,258297.7654883444
-3311033.67270025,258541.06848490948
-3311319.3897714256,258763.11325587105
-3311630.0258513284,258963.35883886847
-3311952.2942450806,259153.03848876365
-3312283.762211775,259329.94355783795
-3312620.730240851,259491.21346902393
-3312980.680764417,259650.84504393578
-3313360.9882050185,259790.01403287484
-3313491.0306267436,259835.458807205
-3313505.4101870395,259841.28235206992
-3313507.056606972,259842.49883207754
-3313507.2387344255,259843.18342351206
-3313507.250320769,259843.80798158122
-3313507.2425150024,259844.42777248396
-3313507.232523152,259845.04913183337
-3313507.221711851,259845.6725844209
-3313507.210709685,259846.29838653374
-3313507.199731093,259846.9266475732
-3313507.188744871,259847.55749169964
-3313507.177716622,259848.19083232386
-3313507.1666440843,259848.82666374947
-3313507.155518094,259849.4650486013
-3313507.1443194984,259850.10611776996
-3313507.133062431,259850.74977466857
-3313507.121746891,259851.3960192971
-3313507.110370429,259852.04489076923
-3313507.0989100765,259852.696755736
-3313507.0873878663,259853.3512624661
-3313507.0758017013,259854.00845469531
-3313507.064147802,259854.66857573797
-3313507.0524252993,259855.33152353755
-3313507.0406321045,259855.99734069334
-3313507.028766129,259856.66606980463
-3313507.0168252857,259857.33775347078
-3313507.0048074857,259858.01243429104
-3313506.9927106407,259858.69015486477
-3313506.9805445555,259859.37097111638
-3313506.9683039486,259860.0549220671
-3313506.955984731,259860.74204807437
-3313506.943585553,259861.4323925657
-3313506.931105067,259862.12599896864
-3313506.9185419222,259862.82291071073
-3313506.9058947703,259863.52317121948
-3313506.8931636964,259864.22682486262
-3313506.8803507015,259864.93391726533
-3313506.8674530606,259865.64449388316
-3313506.8544679927,259866.35860091192
-3313506.841573988,259867.07691385478
-3313506.8758663153,259867.8307477997
-3313507.151443568,259868.7964367587
-3313507.5801888453,259870.00033084909
-3313508.8292152043,259871.75384568897
-3313511.782369567,259874.50435356304
-3313517.1852747714,259878.6797528321
-3313525.8145044753,259884.7200833905
-3313538.056093475,259892.82864383628
-3313553.389268929,259902.6690496505
-3313570.1271777907,259913.2195766187
-3313585.9917652947,259923.1225400425
-3313599.182795046,259931.32102607857
