x,y
-3300781.8521076143,247897.36000477232
-3301221.756327348,247953.669227122
-3301662.641128225,248012.3062683812
-3302097.6468168907,248067.67525074835
-3302522.0656274105,248117.2055882801
-3302936.9750166386,248165.27618240495
-3303346.2801137897,248217.3713541272
-3303754.3908383497,248276.19104571696
-3304167.92537137,248346.21162992323
-3304607.0971349413,248443.3301985899
-3305064.551618832,248560.59673516918
-3305513.531120944,248702.97162902536
-3305944.8035878004,248903.22576977336
-3306371.4295256743,249179.36735835052
-3306844.6220960915,249572.13210631892
-3307320.1521164384,249980.41808155118
-3307737.356675287,250429.57856867087
-3308055.28784109,250921.64736781636
-3308336.2975174976,251403.52699657655
-3308558.1499258196,251764.11884975136
-3308722.343914161,252033.0774464214
-3308861.8899628823,252286.38018778546
-3308987.1176182614,252542.1861300762
-3309104.447148642,252795.78078216463
-3309216.3361606062,253044.742541758
-3309323.2902001105,253291.1006844517
-3309427.999294137,253542.0410077288
-3309531.119467288,253798.95096345842
-3309631.6805845224,254059.990332905
-3309727.394115686,254322.65272540547
-3309818.5281752287,254588.46001384777
-3309907.6263973266,254857.8804878277
-3309996.804105574,255129.11580059322
-3310088.0012402292,255398.32507439112
-3310184.558759724,255666.98095925213
-3310287.5798483104,255931.55107201383
-3310398.1760896184,256190.06505670454
-3310519.227599006,256447.69110267184
-3310653.4110456626,256707.21113810022
-3310800.741605907,256963.73731286425
-3310966.0107440636,257215.63560372998
-3311156.3653978873,257458.13973547888
-3311377.891067027,257684.6236799934
-3311631.502523953,257892.44904065123
-3311899.6509293257,258072.10630246173
-3312183.5704838657,258224.95784997908
-3312477.6670783195,258342.88419167264
-3312791.425640957,258414.44545333623
-3313135.9963750304,258440.26530461112
-3313485.183900817,258439.29784224188
-3313836.84400511,258426.42206938082
-3314048.1147753424,258430.6703552732
-3314112.3416482466,258449.04349667465
-3314135.4862439362,258467.8167929556
-3314147.890216308,258484.01967089518
-3314154.884989015,258497.43017704578
-3314158.976194458,258508.30034988414
-3314161.392589179,258517.01364384295
-3314162.7756997524,258523.95393088344
-3314163.491701309,258529.4632814913
-3314163.746051344,258533.82886220675
-3314163.66825805,258537.28712350441
-3314163.341021464,258540.02805915687
-3314162.81382801,258542.20068429038
-3314162.1225813674,258543.92273083885
-3314161.2972977576,258545.29368206032
-3314160.357837677,258546.38986203808
-3314159.320299163,258547.27430130268
-3314158.2121055154,258548.02727029638
-3314157.0894161067,258548.7734613383
-3314155.9583731415,258549.52581429266
-3314154.8188009085,258550.28411709846
-3314153.670519419,258551.04815537768
-3314152.513346131,258551.81771324587
-3314151.3470954755,258552.59257293367
-3314150.1715782178,258553.37251450113
-3314148.9866014556,258554.1573158375
-3314147.7919685924,258554.94675319368
-3314146.5874792505,258555.7406031262
-3314145.3729294287,258556.5386390384
-3314144.1481114575,258557.34063220653
-3314142.912813987,258558.14635200548
-3314141.666821987,258558.9555659087
-3314140.4099173956,258559.76804267828
-3314139.1418789695,258560.58355162514
-3314137.862481408,258561.40185830428
-3314136.5714958385,258562.22272690272
-3314135.2686898177,258563.04592024037
-3314133.9538272964,258563.87120014208
-3314132.626668273,258564.6983313599
-3314131.2869692505,258565.52707641775
-3314129.9344831924,258566.3571961083
-3314128.568959451,258567.1884503169
-3314127.190143764,258568.02059802177
-3314125.797860207,258568.85340845192
-3314124.391633286,258569.68661991577
-3314122.971356302,258570.52001029666
-3314121.5367482593,258571.3533374355
-3314120.0875281617,258572.1863591731
-3314118.623414927,258573.0188334404
-3314117.144123419,258573.8505224302
