x,y
-3300472.9743837058,248916.90966942997
-3300906.282618485,248962.80451114112
-3301334.1428552913,249017.6980045241
-3301753.711552388,249085.53282173708
-3302161.6564793233,249159.2707859826
-3302558.7552694213,249229.22554631016
-3302946.4773812103,249291.31728547736
-3303324.7493025875,249344.30505782316
-3303709.693250956,249393.8556068553
-3304108.5683257408,249442.7813306014
-3304528.528245768,249501.0801365195
-3304962.6165538416,249600.30859353827
-3305389.92880423,249778.9852909751
-3305773.5377053143,250047.37157782918
-3306116.318547636,250390.65493602402
-3306426.097060785,250799.75011248054
-3306666.103898843,251273.00004590824
-3306801.154014586,251725.6949404322
-3306859.269037287,252087.3898756884
-3306876.963423226,252384.74749033456
-3306889.6269466225,252643.9668506681
-3306903.3926500855,252883.89341886988
-3306920.206458739,253115.73871326068
-3306938.906498699,253342.84766967653
-3306962.104057218,253568.5434820941
-3306991.8853833815,253803.76798817236
-3307026.081805981,254049.0130825288
-3307063.741694718,254296.0944531695
-3307107.1743531073,254545.27183472537
-3307158.989281245,254788.97570496966
-3307219.1795167085,255038.62998534433
-3307286.957235234,255300.68512146312
-3307360.699230339,255571.63704451369
-3307443.2782669985,255850.90245779091
-3307543.4581026016,256149.1397383001
-3307655.796222125,256457.99230551333
-3307773.1311311056,256766.43133883647
-3307892.8205463192,257075.35944952455
-3308012.7481076843,257385.00901545107
-3308133.0075788666,257695.02811556213
-3308253.7856315575,258004.82026436913
-3308375.1186996577,258313.05386395525
-3308492.2801755206,258614.4896202692
-3308600.6549555818,258902.4069848593
-3308705.557715595,259176.30795441486
-3308816.3252023254,259439.74100710696
-3308936.1435715817,259699.32495928303
-3309062.8044341756,259953.76667281403
-3309193.791192772,260207.58975946865
-3309323.862845745,260456.94632754227
-3309451.6040471927,260696.7960444251
-3309579.4555577263,260935.92813281296
-3309700.6465545096,261182.4823315047
-3309809.9056273466,261444.4303797232
-3309906.6794742574,261730.7274801589
-3309992.300990458,262073.9526649846
