x,y
-3300618.7792850956,248522.36949365496
-3301069.507929945,248577.47629021292
-3301513.565670219,248643.05732122963
-3301949.413989976,248714.65300083783
-3302376.510708553,248782.481188246
-3302800.3047205284,248843.5549168356
-3303224.169428031,248901.2596638551
-3303650.8906813473,248960.2699951275
-3304086.0135744726,249026.15456304364
-3304539.6955796927,249109.63044815592
-3305003.004682148,249217.41185966396
-3305462.472630584,249389.9259337944
-3305901.175856521,249669.19647019653
-3306332.713098624,250045.1816036544
-3306763.7201116397,250491.3625872777
-3307111.8061225596,251023.357944451
-3307341.593020791,251574.64871886594
-3307472.7070375327,252038.9828901467
-3307542.2723020697,252398.55281218232
-3307596.536994109,252720.76668477006
-3307644.662724747,253028.71003331256
-3307690.6415075473,253330.53440554155
-3307737.958261444,253629.01184458923
-3307787.090751474,253924.4283687276
-3307837.2170348805,254216.43361682727
-3307890.686442169,254507.04930366765
-3307951.730585211,254802.21755538567
-3308024.9481782177,255113.2436083876
-3308113.4780358537,255435.3724367513
-3308214.9841672024,255757.51533999087
-3308324.2820453527,256074.8270973011
-3308437.6580763394,256388.70581639808
-3308553.7715335204,256694.8231025479
-3308671.4263233966,256997.60813121943
-3308793.0097434674,257306.4950962351
-3308922.1962676668,257623.290397405
-3309058.3232688745,257942.77698935661
-3309196.957782064,258255.96882710146
-3309344.6905418662,258564.9256037028
-3309502.387908662,258867.18911999778
-3309661.5354846576,259156.30537183915
-3309836.950463955,259444.52527460668
-3310031.614254006,259730.01346881507
-3310234.1979157454,260008.41038833366
-3310445.8362711337,260284.94129809344
-3310660.1924892925,260552.47026602362
-3310893.1296934467,260826.1050615724
-3311138.4381143167,261081.12315667712
-3311375.0043389653,261314.33442798074
-3311597.4436962474,261548.76145893082
-3311818.4934474654,261837.4366284809
-3311921.5844507795,262015.99776323792
-3311927.0672243657,262026.99518744877
-3311927.4305857006,262027.59767258933
-3311927.6316999528,262027.86858302593
-3311927.8319315845,262028.1387076541
-3311928.0312830526,262028.40805283966
-3311928.2297567804,262028.6766251637
-3311928.427355198,262028.9444311282
-3311928.62408075,262029.21147705833
-3311928.819935911,262029.4777688697
-3311929.014923099,262029.74331322813
-3311929.2090447526,262030.00811651515
-3311929.402303354,262030.27218451293
-3311929.594701373,262030.53552314203
-3311929.786241242,262030.7981388919
-3311929.976925414,262031.0600379639
-3311930.166756407,262031.32122545585
-3311930.3557366678,262031.58170765676
-3311930.5438686544,262031.8414906751
-3311930.731155,262032.10057653545
-3311930.917598902,262032.35895407907
-3311931.1032020804,262032.61664671742
-3311931.287967007,262032.87366027146
-3311931.471896155,262033.13000056226
-3311931.654991994,262033.38567341093
-3311931.837256998,262033.64068463843
-3311932.0186936366,262033.89504006587
-3311932.1993043832,262034.14874551428
-3311932.3790917085,262034.40180680467
-3311932.5580580854,262034.65422975816
-3311932.7362059844,262034.90602019575
-3311932.913537878,262035.15718393849
-3311933.090056238,262035.40772680743
-3311933.265763536,262035.65765462365
-3311933.440662244,262035.90697320816
-3311933.6147548333,262036.15568838202
-3311933.7880437756,262036.40380596626
-3311933.9605315435,262036.65133178196
-3311934.1322206077,262036.89827165016
-3311934.303114884,262037.1445698863
-3311934.473215977,262037.39026923978
-3311934.642526065,262037.63538805922
-3311934.811047633,262037.87993159654
-3311934.9787831665,262038.12390510374
-3311935.1457351497,262038.36731383274
-3311935.311906068,262038.61016303542
-3311935.4772984073,262038.8524579638
-3311935.641914652,262039.09420386978
-3311935.8057572874,262039.33540600532
-3311935.9688287987,262039.57606962233
