x,y
-3300464.283533669,249032.11775831107
-3300886.3638209063,249072.6067249993
-3301305.5488710785,249120.7585950156
-3301718.9977070186,249183.21941312708
-3302120.4488740414,249256.88733125204
-3302506.146204227,249329.01908798458
-3302879.6633717013,249391.6341836623
-3303238.5905685537,249444.31386231165
-3303598.7705609873,249492.11166727546
-3303965.800022439,249536.39336682804
-3304358.6290368577,249583.54498549085
-3304774.437397086,249655.67465205264
-3305191.223615294,249792.42155241585
-3305579.963042658,250009.6821198589
-3305915.2191105266,250309.09423072363
-3306218.142704182,250666.16117468668
-3306470.6704722196,251094.21266283435
-3306637.096983242,251541.91439640615
-3306720.202405983,251908.441312285
-3306752.284514626,252205.58611388292
-3306764.177236877,252460.56854504786
-3306774.5977731477,252686.62638044567
-3306786.7614968233,252900.31351999272
-3306800.37287714,253110.90296103407
-3306815.720928761,253316.36558600303
-3306835.6739331684,253517.59048279966
-3306862.3275133735,253722.11099517994
-3306894.2045740313,253929.38786980754
-3306929.839883892,254140.95938919974
-3306970.1156568187,254364.0918533658
-3307016.9398789806,254595.65754491117
-3307071.887913678,254826.84687544635
-3307133.999700884,255070.07000904
-3307202.5654246015,255325.8926795144
-3307275.5310449405,255591.06289899384
-3307354.749664766,255862.19345774763
-3307450.6384335044,256149.9205142845
-3307560.752610607,256454.12415714414
-3307677.6930272644,256760.62198466514
-3307797.2162927333,257068.23583034248
-3307916.9961348223,257376.9112607005
-3308036.8747480405,257685.6914572553
-3308156.8643585565,257993.75064178766
-3308277.427326304,258300.5441173853
-3308395.601455175,258604.99553555646
-3308504.1114874,258893.7990022973
-3308608.436135978,259169.46878510588
-3308716.5005834135,259431.32602088797
-3308831.5028420934,259686.24609949192
-3308951.613195573,259934.8677868389
-3309075.799542894,260183.0531002742
-3309199.4657662683,260429.62844471005
-3309318.905290413,260665.68801300554
-3309436.5778608583,260897.90078696806
-3309550.1231492073,261138.15273597641
-3309652.0276284185,261396.9857376315
-3309736.396931209,261672.63127357163
-3309804.0112060374,261988.6584261463
-3309873.234678391,262357.3152697746
