x,y
-3300927.5362080787,247502.7459176798
-3301308.8893505097,247553.01976042558
-3301702.648107004,247608.89332661667
-3302107.6173329423,247664.48477339416
-3302506.388042996,247707.9712606317
-3302887.392292484,247743.35206721924
-3303248.080828171,247779.68626899814
-3303589.6712881587,247817.97753510557
-3303914.606691838,247857.15272334788
-3304250.787442022,247899.8000631815
-3304603.0733891972,247960.00873914058
-3304992.833506118,248061.0719510048
-3305398.865030618,248182.7439804939
-3305790.910902344,248315.04681150816
-3306161.9730934235,248477.8320310814
-3306519.050481697,248677.94467270156
-3306900.173923833,248942.86735023718
-3307363.7651297823,249305.51202306716
-3307779.840294505,249661.8585320149
-3308109.2849493716,249998.01099925433
-3308387.2096760767,250340.91299310589
-3308644.0723883198,250691.0720536856
-3308903.920536327,251019.40245047468
-3309121.1668918864,251236.024439108
-3309287.937139887,251399.8284745744
-3309431.5191059834,251555.86181901122
-3309561.5921635833,251715.21788705984
-3309681.125487736,251876.9531810024
-3309791.1664807675,252041.82055116718
-3309892.7678041556,252209.30274358744
-3309989.6036340976,252378.2303836495
-3310085.5391790005,252541.98555988233
-3310178.194476891,252700.04865531283
-3310266.077284286,252852.83498729655
-3310352.124864391,253002.5276275716
-3310437.2139279987,253151.39349880297
-3310521.202016608,253295.40583776202
-3310602.2661633953,253433.26042247037
-3310679.9466987373,253564.96200288332
-3310754.426188679,253690.0814408068
-3310825.089258547,253811.42501855452
-3310891.7369678486,253930.82399715373
-3310955.7792599592,254046.19100033675
-3311019.2540731654,254158.45547382085
-3311084.0218957444,254267.66469465088
-3311148.1393207507,254372.53207386783
-3311211.719690613,254473.89223278043
-3311274.251412606,254571.65178138975
-3311335.4198927647,254667.91058262446
-3311396.7090744544,254763.81554262317
-3311460.0380424527,254858.95611574006
-3311524.1657543746,254951.72706337358
-3311589.3224467803,255043.50133938552
-3311655.646131389,255134.3375420334
-3311722.4144140924,255222.72838786236
-3311790.524798356,255310.1720545031
-3311860.2333089625,255396.6490307391
-3311929.89725239,255479.92741950837
-3312000.334245144,255561.44013552452
-3312073.0328682805,255643.07918391743
-3312145.9149940554,255721.4491917142
-3312221.0583277973,255798.70883422738
-3312299.8455322487,255876.48950838804
-3312382.961375265,255954.59997178146
-3312466.833359317,256030.23366344153
-3312552.1363904784,256103.18466736248
-3312639.6939066155,256174.2872857996
-3312728.353502452,256241.91428167763
-3312819.2347214012,256306.42087846133
-3312913.220079667,256368.65234109762
-3313009.5957355793,256429.3903689219
-3313112.717627246,256492.77513262132
-3313220.1268088,256558.40681633764
-3313325.3644416574,256619.56747665035
-3313430.6858826466,256673.69061427403
-3313538.4284615954,256719.27444177662
-3313645.982641129,256754.09548502936
-3313754.509068259,256783.85005245652
-3313859.7251023096,256816.46142459617
-3313972.6864628885,256853.62981861984
-3314068.175892968,256884.0819164934
-3314106.461128438,256902.62662960176
-3314125.924437596,256918.7671412123
-3314143.808314961,256936.89066265058
-3314160.409185938,256956.4864657549
-3314176.128956182,256977.05824188158
-3314191.620133844,256998.28707313456
-3314206.7735232757,257020.11786176937
-3314218.783811161,257041.31528072042
-3314225.6342192297,257060.9787401751
-3314227.085252328,257079.06504079927
-3314224.2080346537,257096.16037167903
-3314218.516563027,257113.08074080976
-3314210.145267037,257130.10137493708
-3314199.647223913,257147.2239527741
-3314187.632811979,257164.2693758882
-3314174.612711075,257180.8954174052
-3314161.056750195,257196.67791410183
-3314147.391161671,257211.22165769138
-3314134.018139645,257224.213923631
-3314122.240396104,257235.86342866044
