x,y
-3300755.8742582654,248243.01571214787
-3301207.4578226316,248298.9049428359
-3301654.9113101866,248362.48474876472
-3302094.7963654874,248426.65099343332
-3302525.39855398,248484.8133057176
-3302951.8820147407,248540.5534986397
-3303377.6565881777,248597.07281133672
-3303804.244887476,248659.83616544475
-3304241.35186036,248736.81350222448
-3304701.421548817,248837.3560445793
-3305166.4537100666,248957.88333140398
-3305622.480408891,249134.394563311
-3306066.166093143,249412.6774911408
-3306528.1616547117,249799.73450982856
-3306997.4013895914,250226.21998576488
-3307396.3806991843,250719.38210427394
-3307686.3610821213,251266.08131989642
-3307905.6628058054,251769.58503045604
-3308048.6579232668,252156.4824462718
-3308154.993907712,252476.70692910414
-3308250.7782725263,252777.19286796145
-3308343.395937874,253072.6942680639
-3308431.4743519765,253365.62177208083
-3308512.9697831254,253653.28651978096
-3308591.7180391583,253940.03648488925
-3308676.0221391455,254229.68863618502
-3308767.040370605,254524.6369773392
-3308864.981066081,254828.72102725704
-3308963.6248833253,255136.6487215303
-3309059.5488932417,255445.34465918507
-3309156.6185302413,255752.28760651342
-3309262.691986882,256057.0636240637
-3309373.735314882,256357.15121423244
-3309489.652039167,256654.5892838485
-3309612.9009839823,256955.02538016686
-3309745.2191414554,257259.3843739862
-3309886.778469974,257563.35563429495
-3310036.4646769506,257858.8875271672
-3310195.0848671505,258143.73461572075
-3310369.686598047,258419.37320713393
-3310572.7328532794,258686.6542763073
-3310813.6731390017,258947.48229309538
-3311106.638797904,259195.1933389058
-3311428.8118865495,259428.39925634736
-3311750.6936548245,259648.27993770762
-3312074.1317480966,259869.2214935601
-3312397.954427623,260100.92962251097
-3312719.7268481455,260339.80680394324
-3313051.9176182486,260572.6718082262
-3313266.0470494637,260758.54653925824
-3313358.7892891974,260856.5993963405
-3313377.614302881,260876.37950197846
-3313383.4614530895,260882.69246761114
-3313385.6735912366,260885.25441813364
-3313386.573106786,260886.46534243293
-3313386.9494856484,260887.13840720424
-3313387.108894676,260887.58844511712
-3313387.1773106256,260887.944893467
-3313387.20638469,260888.2607987834
-3313387.217666129,260888.55828532454
-3313387.2220833385,260888.84857033807
-3313387.223517036,260889.13563649246
-3313387.2235184833,260889.42107542822
-3313387.2228891044,260889.70570915236
-3313387.2219681903,260889.9898854831
-3313387.220935478,260890.2737882441
-3313387.2198769418,260890.55750500332
-3313387.218751187,260890.84099373594
-3313387.217558214,260891.12425444197
-3313387.2163255457,260891.40731474754
-3313387.2151163304,260891.69023803947
-3313387.21388176,260891.97297532487
-3313387.2126218337,260892.25552660375
-3313387.211344879,260892.5378998724
-3313387.2100754576,260892.82011871412
-3313387.2087954953,260893.10216577505
-3313387.207504993,260893.38404105525
-3313387.2062036064,260893.6657414286
-3313387.2048903094,260893.9472575575
-3313387.203566225,260894.22859965658
-3313387.2022313527,260894.5097677258
-3313387.2008856926,260894.79076176515
-3313387.1995292455,260895.07158177465
-3313387.1981620104,260895.35222775428
-3313387.196783988,260895.63269970406
-3313387.1953951777,260895.912997624
-3313387.1939955796,260896.19312151405
-3313387.1925851945,260896.4730713743
-3313387.1911640214,260896.75284720463
-3313387.189732061,260897.03244900514
-3313387.1882760525,260897.3118442671
-3313387.1868036073,260897.59105164945
-3313387.1853178563,260897.87007882757
-3313387.183818799,260898.14892580145
-3313387.182306436,260898.42759257113
-3313387.1807807665,260898.70607913655
-3313387.1792417914,260898.98438549778
-3313387.17768951,260899.2625116548
-3313387.176123922,260899.54045760754
-3313387.1745450287,260899.81822335607
-3313387.172952829,260900.0958089004
