x,y
-3300773.1968463864,248012.57887614114
-3301218.5616526715,248067.75037008635
-3301663.1107316623,248127.07121848196
-3302100.919040387,248184.40592110177
-3302528.418369542,248235.95902221373
-3302948.222498689,248286.7705693505
-3303365.966608709,248341.4318480227
-3303782.337899736,248402.1093615633
-3304206.3498314023,248476.6431977278
-3304658.7283214037,248580.0157012598
-3305120.181411106,248699.34069597174
-3305570.0236103563,248855.35694453277
-3306004.997169749,249085.28411749753
-3306447.0362814213,249409.23208377734
-3306932.1871694117,249819.53703244645
-3307385.2098066104,250246.71174457352
-3307756.427450609,250732.45618052795
-3308044.409049977,251252.5985646092
-3308287.510165104,251704.18984469827
-3308460.3972299662,252033.43930050847
-3308599.668173225,252310.2630875843
-3308724.1933443393,252581.73908882216
-3308841.2035199623,252852.467810648
-3308950.933220019,253118.15563254285
-3309053.57801046,253380.85120167458
-3309152.5198960733,253646.50097752392
-3309251.7832497926,253918.50200238306
-3309352.165133399,254196.74008707146
-3309450.809203098,254478.16015398866
-3309544.410716424,254761.6094397077
-3309633.21311713,255048.02409446944
-3309723.4525898993,255335.216110641
-3309819.5893629794,255622.7171268261
-3309922.1796758818,255909.2552592829
-3310030.7631942164,256190.2721052605
-3310145.8796646763,256468.57755563056
-3310271.571834137,256749.87978741262
-3310407.282448553,257029.5040218581
-3310553.1168107907,257305.17645271518
-3310717.5900946474,257574.91382376873
-3310906.8227324467,257834.84434757044
-3311129.476690713,258079.5954597358
-3311390.960114759,258303.4298873427
-3311680.3655719776,258498.60696572036
-3311986.0229781736,258671.05051635165
-3312302.784506141,258816.0691755699
-3312634.545258892,258920.48210741504
-3312979.0750063197,258978.85719780452
-3313338.272151843,259002.73486226978
-3313695.6956306156,259010.10981154683
-3313868.3574463422,259016.08505109724
-3313902.4715627413,259017.3418818072
-3313928.6353174006,259018.73056728972
-3313948.554742692,259020.13313895796
-3313963.6609930894,259021.47920150936
-3313975.0822860585,259022.72628933206
-3313983.6608826546,259023.85470276733
-3313990.064187406,259024.85045401604
-3313994.9614899815,259025.66164757102
-3313998.7756376127,259026.31372064305
-3314001.7530648713,259026.84830032114
-3314004.067742312,259027.29016453068
-3314005.9117768104,259027.66674397083
-3314007.61853996,259028.02620110635
-3314009.305489382,259028.3854739604
-3314010.9538390613,259028.741796434
-3314012.5625059777,259029.09492706586
-3314014.1325961947,259029.44493899168
-3314015.665132061,259029.79189970717
-3314017.161095901,259030.13587423487
-3314018.6214802037,259030.4769282328
-3314020.0472039594,259030.8151228062
-3314021.4391821786,259031.15051881396
-3314022.7982995305,259031.48317522777
-3314024.1253978033,259031.81314835587
-3314025.421318685,259032.14049449383
-3314026.686866581,259032.4652676122
-3314027.922821011,259032.78752011707
-3314029.1299250326,259033.10730201437
-3314030.308930615,259033.42466393358
-3314031.460578321,259033.73965582025
-3314032.58558211,259034.05232595783
-3314033.6846293365,259034.36272096782
-3314034.758380751,259034.6708858097
-3314035.807470499,259034.97686378093
-3314036.8325061225,259035.280696517
-3314037.8340685596,259035.58242399132
-3314038.812712143,259035.88208451535
-3314039.768964602,259036.17971473854
-3314040.703327062,259036.4753496483
-3314041.6162913754,259036.76902360577
-3314042.50858765,259037.06078513735
-3314043.3808032144,259037.350674165
-3314044.2334251194,259037.63872454633
-3314045.066920017,259037.92496884768
-3314045.881734159,259038.2094383441
-3314046.678293398,259038.49216301952
-3314047.4570031883,259038.77317156657
-3314048.218248583,259039.05249138662
-3314048.962394236,259039.33014858988
-3314049.6897844025,259039.60616799528
