x,y
-3300481.661212216,248801.7012772541
-3300922.674001707,248851.19592940566
-3301356.5522730197,248910.62425207236
-3301781.7442029947,248980.83272490354
-3302197.046250421,249053.90080813793
-3302604.410183942,249121.74921756008
-3303006.1450646245,249182.21320998506
-3303407.0443838434,249236.52855875914
-3303813.284943758,249289.48682062473
-3304233.1888559256,249345.8860652581
-3304670.2215712965,249418.54004585583
-3305116.3485667775,249542.86184689496
-3305547.7403905517,249757.42066000483
-3305931.967136773,250059.20197481097
-3306293.9028136563,250437.78503990956
-3306610.6701714285,250883.98508719227
-3306842.162749126,251389.50123862998
-3306970.04232768,251855.88801758277
-3307016.095222929,252220.3773801263
-3307035.0810323968,252525.1491132026
-3307053.1370894723,252803.80588922976
-3307073.421019153,253067.70743408476
-3307096.476355966,253326.56255080496
-3307124.280937172,253589.39586435028
-3307157.1197048053,253856.42465206524
-3307193.435446715,254122.77395799523
-3307233.098965058,254388.2136710023
-3307278.2271658094,254651.8902810273
-3307332.48910716,254916.21395239193
-3307396.731751011,255184.47859436943
-3307469.517964311,255462.3865504747
-3307552.283651382,255749.42434242132
-3307654.493776413,256056.72663713794
-3307766.3278334797,256368.47377791413
-3307882.938269677,256678.73360713263
-3308002.058571995,256988.6319424844
-3308121.7885697526,257299.0002795296
-3308242.208090266,257610.40564875567
-3308363.7727914383,257922.36091032746
-3308486.700263249,258232.65935236443
-3308604.188555214,258531.86223442998
-3308714.5420682277,258821.01095510976
-3308820.4669100735,259096.23909062316
-3308933.9348830665,259365.44867415164
-3309060.528678145,259632.9849557772
-3309196.401458375,259895.93217285167
-3309337.247344877,260156.25335858832
-3309480.9110623924,260412.0945588539
-3309629.0552535215,260663.19299719998
-3309773.4717552387,260908.93680084677
-3309913.3195602326,261157.46403739467
-3310043.0692903274,261413.52586292583
-3310165.8465486867,261694.64493147124
-3310280.9056437085,262031.31425680502
