x,y
-3300936.173672685,247387.52165916158
-3301271.270609976,247436.98916282193
-3301610.68313605,247487.30816498847
-3301977.389868972,247546.79440980605
-3302355.83523171,247595.19149986672
-3302723.095775367,247630.84019040145
-3303061.6931068134,247661.68368875573
-3303380.2663641428,247694.37517990696
-3303677.282899509,247726.53223172904
-3303955.949443984,247756.39714212334
-3304235.9229007587,247787.51113334196
-3304529.786343897,247831.24307273046
-3304869.000197789,247908.9012534452
-3305238.7305902145,248023.30606395486
-3305618.4865154745,248144.01817784738
-3305972.604382911,248274.85846210332
-3306308.5785319135,248433.22142969831
-3306637.425552081,248622.93313462927
-3306995.1824208153,248875.93440948054
-3307437.3251094287,249214.44040304748
-3307833.3305340824,249549.23689295087
-3308133.2498648437,249832.8975690713
-3308393.001631753,250126.8168321183
-3308625.294298004,250409.4726934902
-3308855.09465148,250706.45190383235
-3309075.7961387103,250959.56112737505
-3309265.581773401,251136.51015674017
-3309419.1322624637,251279.83870619806
-3309550.6385779884,251412.83188221292
-3309672.5469249017,251548.9213416398
-3309785.081429015,251685.93750333838
-3309888.6261869725,251824.43897906924
-3309984.9486351367,251963.8700408151
-3310075.265680821,252104.234810893
-3310162.4164657695,252246.20934343344
-3310247.1884048637,252382.3859676425
-3310329.675027435,252513.7805705186
-3310408.856857996,252641.77706908443
-3310484.4152721977,252761.69627368212
-3310558.4470075397,252875.1961836949
-3310632.4639911125,252985.71219364958
-3310703.3423674973,253090.69351933163
-3310771.3194061536,253191.85004887998
-3310835.421494261,253287.6355537253
-3310896.1334840893,253379.1387865401
-3310953.838593776,253466.24545118396
-3311008.4623216824,253549.44518087237
-3311061.0214552064,253628.17024904175
-3311112.6603701385,253703.63530012578
-3311164.113341774,253775.66415060268
-3311215.628807941,253844.23346504223
-3311267.287225534,253910.2707915081
-3311318.360330486,253974.35941287692
-3311368.883830923,254036.96369238177
-3311417.1294225226,254095.31193680523
-3311463.7827979326,254150.3637234121
-3311510.029865847,254203.30100255288
-3311555.6498777303,254253.95435581653
-3311600.4569955603,254303.15571000357
-3311644.896042554,254351.71444810304
-3311688.736161083,254399.32115203666
-3311732.0817079404,254446.81899325715
-3311774.3177979905,254493.10335045675
-3311814.827268621,254536.31193693206
-3311853.8240831606,254576.75140060813
-3311891.7930943994,254615.98280379924
-3311928.461880643,254653.30413064707
-3311963.8099518386,254688.59245041074
-3311998.7182625555,254723.47407495166
-3312033.384737004,254758.269722177
-3312067.7878603786,254792.83594355176
-3312101.7817497184,254827.02365270778
-3312135.3106349944,254860.7445178924
-3312168.3478162037,254893.82047335975
-3312200.8208434796,254926.14117316372
-3312232.7493340876,254957.78528760647
-3312264.236995171,254989.07577425335
-3312295.186256148,255020.0714277875
-3312325.440272645,255050.72322758654
-3312354.9359272006,255081.02070011085
-3312383.766013447,255110.81972597624
-3312411.943729708,255140.07518187675
-3312439.5752435504,255168.8053877256
-3312467.015912127,255197.00627196403
-3312494.6006229543,255224.51717183975
-3312522.3783223536,255251.24562921046
-3312550.350269388,255277.1953823784
-3312578.5712712174,255302.38911350304
-3312607.0167274135,255326.88164612447
-3312635.5551421316,255350.75533470407
-3312664.16374657,255374.0880174945
-3312692.8218765934,255397.04632337065
-3312721.480017338,255419.78317353438
-3312750.1907692184,255442.48284066972
-3312779.29385996,255465.63081554457
-3312808.697353904,255489.19846973388
-3312838.1178467334,255512.90198453143
-3312867.2964741257,255536.50433731987
-3312896.015068256,255559.78051002356
-3312924.2649449655,255582.5343823769
-3312952.3967769756,255604.96186299328
