x,y
-3300905.9249499855,247790.80524427642
-3301338.2495498876,247846.68302319766
-3301773.7195885065,247903.99574659526
-3302202.504960235,247955.0535997504
-3302619.6545433463,248000.2558055312
-3303025.0710945753,248044.8986639599
-3303421.5421767123,248092.67433082376
-3303813.7974881893,248146.17095279493
-3304215.1302192844,248213.46785056862
-3304642.6704775007,248307.93388620508
-3305093.1819158043,248426.00922667817
-3305536.9407214024,248563.6572062868
-3305961.4149212334,248749.79432356852
-3306375.901417894,249000.50465263354
-3306827.5265960456,249367.28577903484
-3307310.4298496237,249768.86350060068
-3307740.235042425,250182.46864432498
-3308094.2849496845,250635.49252532906
-3308379.1318464503,251111.5452181233
-3308640.3975926572,251500.03931130227
-3308829.5064828685,251771.2637212081
-3308982.622579141,252000.9995418887
-3309118.4102633307,252229.23700458344
-3309242.2114795665,252462.07796425396
-3309357.723232057,252695.18624016905
-3309469.260729354,252925.28488670208
-3309576.8061276497,253153.373570214
-3309681.497715232,253385.3883381921
-3309783.2680148003,253620.44833527543
-3309882.7433754345,253858.33550766003
-3309976.903677076,254096.96526682025
-3310065.7757799975,254337.63309455305
-3310152.8729849695,254582.41039332145
-3310240.22349566,254829.3638415722
-3310328.818862408,255076.40536106672
-3310418.995083227,255324.53947474968
-3310513.749986133,255573.73783437177
-3310616.545166052,255819.2217921244
-3310729.2881395863,256058.66722375367
-3310855.7292641234,256292.07640485026
-3310993.3510261076,256522.51279255396
-3311145.0506548765,256750.34418083358
-3311317.3519787923,256967.47620555363
-3311512.9976716936,257169.50400743386
-3311729.461905149,257355.18440321996
-3311958.935285511,257521.5270297227
-3312198.028939799,257663.20140150204
-3312450.9822141733,257783.55823460585
-3312715.4483308513,257877.30782282437
-3313008.2456901143,257938.4025901204
-3313296.491881828,257967.90171614353
-3313565.4477186864,257982.4447025034
-3313774.91022942,258003.85784350394
-3313899.2218971616,258013.78744672364
