x,y
-3300614.441248771,248579.97612084926
-3301063.815991211,248634.7824612296
-3301506.196388147,248699.88292183008
-3301939.9527008357,248771.7070276372
-3302365.343928773,248840.13574575842
-3302787.3987200623,248901.90259205695
-3303209.6633179616,248959.8190090927
-3303633.886421445,249017.91319850614
-3304066.7314505824,249081.82370694674
-3304516.761894911,249161.16446525822
-3304977.2139691776,249266.02856309328
-3305435.4657640248,249437.65631138656
-3305870.023683673,249715.2779574743
-3306290.5160353607,250087.21400777582
-3306706.9262568466,250534.19805704575
-3307040.684497304,251062.75492472752
-3307259.1431628237,251608.80564801514
-3307377.122453008,252064.60101114013
-3307433.9460461615,252418.4195636704
-3307478.41835688,252736.68196840846
-3307519.2486783247,253041.77508122622
-3307559.331953305,253341.09960484444
-3307601.9467480774,253637.56394943234
-3307646.3626009156,253930.23616235287
-3307691.469590521,254219.21093120612
-3307738.2370354496,254506.8818983171
-3307792.8927915986,254796.16556977242
-3307860.10020023,255093.24519824053
-3307943.0449765953,255406.79507737063
-3308041.6334140226,255727.44198305087
-3308150.4337144713,256045.47796444883
-3308264.359609456,256359.93554286993
-3308380.706808169,256671.2911949857
-3308498.0668151993,256975.23570465445
-3308618.3682396174,257283.4898692623
-3308744.12123128,257598.4852366575
-3308875.459145407,257916.34357624274
-3309008.1257073977,258227.35493235817
-3309139.6236195,258528.62624079976
-3309281.1114373277,258830.41248230048
-3309429.3066104273,259125.02181753123
-3309582.332479783,259410.0865882284
-3309755.95165813,259694.91739703566
-3309944.5861094664,259977.20216726733
-3310132.382070793,260248.5717427942
-3310318.4905974227,260510.8157663006
-3310503.468303883,260766.50196415294
-3310709.4474563748,261020.8262256709
-3310936.992145294,261263.41107520697
-3311152.624686316,261508.21000766588
-3311358.5473586316,261751.83303016232
-3311555.224541196,262018.49493306372
-3311666.7056661057,262177.4618891602
-3311689.68037891,262210.15251024393
-3311698.0457797227,262221.27006432024
-3311702.2441630983,262226.267187769
-3311704.666713695,262228.6666586953
-3311706.1655650213,262229.71863399417
-3311707.1248812363,262229.9845352776
-3311707.7749620494,262229.7998288247
-3311708.3806254235,262229.54988591484
-3311708.9838323523,262229.29579033883
-3311709.589393838,262229.0445376963
-3311710.195639176,262228.7936941037
-3311710.8024876327,262228.5431400886
-3311711.4099400416,262228.2928747678
-3311712.017997281,262228.042897258
-3311712.6266602217,262227.7932066768
-3311713.2359297336,262227.54380214255
-3311713.8458066927,262227.2946827773
-3311714.456291978,262227.04584770504
-3311715.0673864633,262226.7972960467
-3311715.679091023,262226.54902692296
-3311716.2914065304,262226.30103945476
-3311716.9043338597,262226.0533327628
-3311717.5178738846,262225.80590596783
-3311718.1320274794,262225.55875819083
-3311718.7467955174,262225.31188855245
-3311719.362178873,262225.06529617356
-3311719.9781784383,262224.8189801859
-3311720.594795127,262224.57293973415
-3311721.212029824,262224.32717394544
-3311721.829883413,262224.0816819467
-3311722.4483567784,262223.8364628646
-3311723.0674508037,262223.591515826
-3311723.687166373,262223.34683995764
-3311724.30750437,262223.1024343863
-3311724.928465679,262222.8582982389
-3311725.5500511834,262222.6144306421
-3311726.1722617853,262222.37083073205
-3311726.7950984207,262222.12749766314
-3311727.418561988,262221.8844305701
-3311728.0426533837,262221.6416285863
-3311728.6673735045,262221.399090845
-3311729.292723247,262221.1568164798
-3311729.9187035067,262220.91480462404
-3311730.5453151804,262220.6730544111
-3311731.172559165,262220.4315649743
-3311731.8004363566,262220.1903354472
-3311732.428947665,262219.9493649692
-3311733.0580940424,262219.7086526993
