x,y
-3300627.4523414667,248407.15601216536
-3301080.053037616,248462.14962582284
-3301526.866320184,248527.7180767194
-3301965.9567213655,248598.0560940136
-3302395.99759032,248663.66297766945
-3302822.139791962,248723.17169213036
-3303248.242316328,248780.39147317508
-3303676.47781013,248840.23414987818
-3304113.1659344905,248909.2479737848
-3304570.254439227,248998.3513539734
-3305036.2797672967,249110.34990000044
-3305496.791896518,249280.0146199553
-3305941.168391526,249557.5724536007
-3306388.2421519826,249938.46465813118
-3306840.432463489,250376.58172161446
-3307217.736264661,250896.1359454885
-3307475.3777982895,251453.6826959789
-3307643.7274813037,251941.6306116032
-3307741.5584749933,252318.0002313651
-3307816.990551185,252646.03224110516
-3307882.401699579,252957.6018460225
-3307942.54204899,253260.45442198138
-3308001.023284163,253559.50115164553
-3308060.9302168936,253856.02850548876
-3308123.678722009,254150.54753676633
-3308190.197495905,254444.87527359257
-3308262.1831618063,254747.01563182805
-3308342.957519425,255063.12916605597
-3308437.9916928024,255385.37684579138
-3308540.0092910803,255705.61153161543
-3308645.7981509957,256021.5793687152
-3308757.3043958065,256330.90832899095
-3308872.323889375,256635.04406281444
-3308990.8136061183,256935.49977372147
-3309115.2534852386,257243.5704106647
-3309246.8427341427,257557.19340523798
-3309385.774681018,257871.25502624805
-3309536.0783341792,258184.23422402618
-3309698.869845379,258490.15327136448
-3309869.427581684,258781.96230561176
-3310055.818919965,259068.78006277513
-3310276.222028531,259353.7101398613
-3310518.8165608435,259637.06217300644
-3310787.2121562692,259916.7636784569
-3311069.947043152,260187.10765588033
-3311356.4977752008,260458.5201876893
-3311635.481227459,260722.46248740342
-3311898.78623036,260971.6303894822
-3312152.5815911177,261210.32465898443
-3312396.5769243357,261464.01053525356
-3312548.86381446,261639.76623295245
-3312573.5575303966,261662.25030337617
-3312581.3063733093,261665.871163965
-3312586.1553714843,261666.5367230352
-3312590.3349749427,261666.72856870148
-3312594.2099827514,261666.83854654361
-3312597.851688543,261666.9319382749
-3312601.281037571,261667.01839859568
-3312604.5185190067,261667.10009445675
-3312607.5655294876,261667.17711247603
-3312610.4396039546,261667.25000778158
-3312613.1384377824,261667.31867988934
-3312615.6884108405,261667.38376805274
-3312618.076163197,261667.4449390502
-3312620.320350418,261667.5038593199
-3312622.4817295102,261667.6156229183
-3312624.5981942844,261667.8234851492
-3312626.669476577,261668.12435316623
-3312628.6956787664,261668.5186226751
-3312630.6758467034,261669.0018149739
-3312632.6096981284,261669.57183955974
-3312634.4968954558,261670.22656041326
-3312636.3368381867,261670.95913695268
-3312638.129869413,261671.77036290243
-3312639.87567781,261672.65547848362
-3312641.5743173473,261673.61057724856
-3312643.225936664,261674.63150241543
-3312644.8305990226,261675.71408282148
-3312646.3888858072,261676.85473919904
-3312647.900931811,261678.04932869723
-3312649.3675140776,261679.29433522682
-3312650.788923419,261680.58580586498
-3312652.1661913972,261681.9204173977
-3312653.499646703,261683.2942569003
-3312654.789840703,261684.7035982741
-3312656.037897867,261686.14553711686
-3312657.244321227,261687.61627802756
-3312658.409771711,261689.1122519936
-3312659.535337818,261690.63101026005
-3312660.621709752,261692.16904112275
-3312661.6696336204,261693.72298207306
-3312662.680121116,261695.29094152406
-3312663.6539281528,261696.8695148694
-3312664.5919138175,261698.45590780373
-3312665.4947620686,261700.04668303923
-3312666.3632424106,261701.63871706484
-3312667.198159259,261703.22904624933
-3312667.999871172,261704.81209443603
-3312668.7658927017,261706.36454902243
-3312669.4965626257,261707.8788976825
-3312670.193774472,261709.35742102686
